x,y
0.010,0.958
0.014,1.034
0.018,1.109
0.022,1.094
0.027,1.104
0.031,0.839
0.035,1.408
0.039,1.392
0.043,1.008
0.047,0.867
0.051,1.251
0.056,1.013
0.060,1.135
0.064,1.017
0.068,1.191
0.072,1.160
0.076,0.841
0.080,0.672
0.085,0.593
0.089,0.990
0.093,0.586
0.097,0.678
0.101,0.614
0.105,0.676
0.109,0.251
0.114,0.628
0.118,0.647
0.122,0.512
0.126,0.385
0.130,0.420
0.134,0.435
0.138,-0.243
0.143,0.660
0.147,0.306
0.151,0.058
0.155,0.074
0.159,0.216
0.163,0.062
0.167,-0.350
0.172,0.442
0.176,-0.017
0.180,0.189
0.184,-0.172
0.188,0.260
0.192,-0.002
0.196,0.054
0.201,-0.282
0.205,0.167
0.209,0.064
0.213,0.190
0.217,-0.189
0.221,-0.150
0.225,0.420
0.230,-0.238
0.234,-0.036
0.238,0.238
0.242,0.052
0.246,0.172
0.250,0.001
0.254,0.182
0.259,-0.126
0.263,0.496
0.267,0.170
0.271,0.088
0.275,0.387
0.279,0.192
0.283,0.047
0.288,0.074
0.292,0.510
0.296,0.367
0.300,0.398
0.304,0.664
0.308,0.246
0.312,0.346
0.317,0.433
0.321,0.545
0.325,0.530
0.329,0.491
0.333,0.544
0.337,0.538
0.341,0.416
0.346,0.394
0.350,0.605
0.354,0.362
0.358,0.295
0.362,0.446
0.366,0.455
0.370,0.912
0.375,0.291
0.379,0.587
0.383,0.511
0.387,0.083
0.391,0.432
0.395,-0.007
0.399,-0.353
0.404,0.246
0.408,-0.284
0.412,0.098
0.416,-0.191
0.420,0.213
0.424,0.028
0.428,-0.345
0.433,-0.462
0.437,-0.639
0.441,-0.556
0.445,-0.597
0.449,-0.688
0.453,-0.657
0.457,-0.645
0.462,-0.764
0.466,-1.058
0.470,-1.263
0.474,-0.772
0.478,-1.249
0.482,-1.306
0.486,-1.342
0.491,-1.666
0.495,-1.449
0.499,-1.501
0.503,-1.330
0.507,-1.359
0.511,-1.538
0.515,-1.389
0.519,-1.538
0.524,-1.635
0.528,-1.621
0.532,-1.707
0.536,-1.758
0.540,-1.738
0.544,-1.909
0.548,-1.620
0.553,-1.862
0.557,-1.477
0.561,-1.671
0.565,-1.581
0.569,-1.457
0.573,-1.385
0.577,-1.781
0.582,-1.455
0.586,-1.180
0.590,-1.633
0.594,-1.147
0.598,-1.603
0.602,-1.279
0.606,-0.984
0.611,-1.237
0.615,-1.013
0.619,-1.017
0.623,-0.297
0.627,-0.494
0.631,-0.312
0.635,-0.366
0.640,-0.287
0.644,-0.432
0.648,-0.060
0.652,-0.045
0.656,0.388
0.660,0.553
0.664,0.726
0.669,0.710
0.673,0.526
0.677,0.526
0.681,1.004
0.685,1.021
0.689,0.693
0.693,1.211
0.698,1.392
0.702,1.326
0.706,1.359
0.710,1.311
0.714,1.256
0.718,1.772
0.722,1.612
0.727,1.683
0.731,2.127
0.735,1.962
0.739,1.938
0.743,1.924
0.747,2.226
0.751,2.286
0.756,2.141
0.760,2.079
0.764,1.544
0.768,1.982
0.772,1.920
0.776,1.946
0.780,2.092
0.785,1.325
0.789,1.722
0.793,1.848
0.797,1.653
0.801,1.411
0.805,1.810
0.809,1.629
0.814,1.312
0.818,1.498
0.822,1.524
0.826,1.281
0.830,1.358
0.834,1.128
0.838,0.946
0.843,0.703
0.847,0.825
0.851,0.788
0.855,0.829
0.859,0.536
0.863,0.554
0.867,0.174
0.872,0.115
0.876,0.154
0.880,-0.128
0.884,0.154
0.888,-0.008
0.892,-0.133
0.896,-0.208
0.901,0.045
0.905,-0.534
0.909,-0.958
0.913,-0.552
0.917,-0.672
0.921,-0.832
0.925,-0.986
0.930,-0.936
0.934,-0.866
0.938,-1.052
0.942,-0.513
0.946,-1.227
0.950,-1.228
0.954,-1.557
0.959,-1.074
0.963,-1.548
0.967,-1.268
0.971,-1.226
0.975,-1.318
0.979,-0.830
0.983,-0.975
0.988,-0.903
0.992,-1.331
0.996,-0.913
1.000,-1.019
