Id,LotFrontage,LotArea,YearBuilt,BedroomAbvGr,KitchenAbvGr,YrSold,SalePrice
1,65,8450,2003,3,1,2008,208500
2,80,9600,1976,3,1,2007,181500
3,68,11250,2001,3,1,2008,223500
4,60,9550,1915,3,1,2006,140000
5,84,14260,2000,4,1,2008,250000
6,85,14115,1993,1,1,2009,143000
7,75,10084,2004,3,1,2007,307000
8,51,6120,1931,2,2,2008,129900
9,50,7420,1939,2,2,2008,118000
10,70,11200,1965,3,1,2008,129500
11,85,11924,2005,4,1,2006,345000
12,91,10652,2006,3,1,2007,279500
13,51,6120,1929,2,1,2007,132000
14,72,10791,1967,2,2,2006,90000
15,66,13695,2004,3,1,2008,159000
16,70,7560,1958,3,1,2009,139000
17,101,14215,2005,4,1,2006,325300
18,57,7449,1930,3,1,2007,139400
19,75,9742,2002,3,1,2008,230000
20,44,4224,1976,3,1,2007,129900
21,110,14230,2007,3,1,2009,256300
22,60,7200,1951,3,1,2010,134800
23,98,11478,2007,3,1,2010,306000
24,47,16321,1957,2,1,2006,207500
25,60,6324,1927,1,1,2008,68500
26,50,8500,1920,3,1,2008,40000
27,85,11049,2007,3,1,2008,179900
28,70,10552,1959,4,1,2010,165500
29,60,7313,2005,2,1,2007,277500
30,108,13418,2004,4,1,2006,309000
31,112,10859,1994,3,1,2009,145000
32,74,8532,1954,3,1,2009,153000
33,68,7922,1953,3,1,2010,109000
34,65,6040,1955,2,2,2008,82000
35,84,8658,1965,3,1,2006,160000
36,115,16905,1959,2,1,2007,170000
37,70,7945,1959,3,1,2006,141000
38,61,7658,2005,2,1,2010,319900
39,48,12822,2003,1,1,2009,239686
40,84,11096,2006,3,1,2007,249700
41,33,4456,1920,2,3,2009,113000
42,66,7742,1966,3,1,2007,127000
43,52,6240,1934,3,1,2006,114500
44,110,8472,1963,2,1,2010,110000
45,68,50271,1981,0,1,2006,385000
46,60,7134,1955,3,1,2007,130000
47,100,10175,1964,3,1,2008,180500
48,24,2645,1999,3,1,2009,172500
49,89,11645,2004,3,1,2006,196500
50,66,13682,2006,3,1,2006,438780
51,60,7200,1972,2,1,2008,124900
52,63,13072,2004,3,1,2006,158000
53,60,7200,1920,3,1,2007,101000
54,44,6442,2006,2,1,2007,202500
55,50,10300,1921,3,1,2010,140000
56,76,9591,2004,4,1,2007,317000
